Дата прохождения,Респондент,"Я знаю, чего от меня ожидает компания",Мой руководитель ставит четкие цели для нашей команды,"Я вижу прямую связь между тем, что я делаю и успехами компании","В компании есть тот, кто помогает мне развиваться профессионально","Мой руководитель дает мне обратную связь, которая помогает улучшить мою работу","Я знаю, как пройти обучение и с кем в компании можно его обсудить",В компании есть возможности для моего роста и развития,Компания предоставляет мне все необходимые ресурсы для работы,Меня устраивает мой компьютер и остальная рабочая техника,"Если в работе что-то идет не по плану, я всегда знаю, кого попросить о помощи",Мой руководитель регулярно делится со мной актуальной информацией о целях компании,"Я понимаю, куда движется компания и как она планирует развиваться",Я узнаю новости о изменениях в компании вовремя,"Я знаю, какие роли у ребят в других командах и какими навыками они обладают","Если я захочу найти в компании эксперта в какой-то области, то легко это сделаю, даже не зная его имени",Я общаюсь с коллегами за пределами своей команды и/или рабочей группы,У меня на работе есть друг,В большинстве случаев мои коллеги качественно выполняют свою работу,Коллеги всегда оперативно реагируют на мои сообщения и не пропускают их,Я никогда не пропускаю сообщения от коллег или руководителя,"Я всегда знаю, в какой чат мне написать с вопросом или предложением",Меня никогда не забывали добавить в нужный рабочий чат,Я готов рекомендовать нашу компанию своим друзьям и знакомым,Какие изменения за последний год тебя порадовали?,Что тебе нравится в компании меньше всего?,"Есть ли в компании что-то, что тормозит твою работу?",Оставь любой комментарий и мы его прочитаем :)
2022-12-05 22:45:45,Респондент 169,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,дух стартапа и вовлеченность сотрудников,,
2022-11-30 16:48:28,Респондент 1,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,,,,
2022-11-30 17:23:01,Респондент 74,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да," Я тут всего месяц, поэтому порадовало пока только то, что добавили специальные насадки на бутылки с сиропом и теперь не нужно брать их руками)",Отсутствие ДМС вне Москвы,Только моя текущая квалификация,
2022-12-01 10:39:56,Респондент 97,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Быстрая помощь от коллег, оперативность в различных вопросах",,нет,Крутая поддержка в компании. 
2022-11-30 16:53:35,Респондент 58,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,"индексация з/п, ДМС, переезд в новый офис",,,
2022-12-02 18:04:42,Респондент 70,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,"Появление ДМС, появление понимания количества и возможностей Dayoff-ов (это же этот год?)",Отстуствие больших сетей в ДМС. Отсутствие курительной кабины.,Нет.,
2022-11-30 18:50:40,Респондент 14,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Повышение зарплаты, 100% промокод на сессии в Ясно, изменение некоторых рабочих механик за счет создания workspace, стало очень удобно. ","Как сотруднику удаленки - не хватает очного общения с коллегами, корпоративов. ","В голову ничего не приходит. Вероятно, нет таких факторов)","Очень рада работать в Каме, когда очень грустно, я вспоминаю, что у меня есть прекрасная работа, которая действительно радует. И замечательные коллеги, с которыми можно пообщаться не только на рабочие темы. Кама one love <3"
2022-12-01 10:42:59,Респондент 82,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,"Переезд в новый офис и новая расстановка, теперь сижу ближе к команде (той которая осталась в офисе)",В кофепоинтах кофейные зёрна хуже чем в столовой(,"Над процессом дизайна новых слотов стоит подумать. Кажется, что он не оптимален, но что именно в нем поменять (кроме переброса диздоков из гугла в вики) - хз, нужно думать...","почтим память курилки минутой молчания...




(и вкусный кофе в кофепоинты!)"
2022-12-05 14:00:00,Респондент 159,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,- новый офис и все что с ним связано,"- отсутствие курилки
- самодурство некоторых отдельных личностей, но без этого увы никак и такое есть везде
- иногда плохая коммуникация
- редкий внутриполитический контекст компании, мешающий быстрому принятию решений и изменению процессов (речь не про политику нашей страны)",люди,"я анимешница , и я посмотрела больше 90 АНИМЕ ! у меня куча вищей, плакатов 4 фегурки , подушка обнимашка и Т.Д АНИМЕ я смотрела с 7 лет и тогда я уже знала что такое ХЕНТАЙ , ЯОЙ , ЮРИ (это жанры) и ввот и все мои одноклассники спрашевали во 2-ом классе
они : ГОСПОДИ ты что смотришь
А_Н_И_М_Е !?
я : да и что ?
они : ООО ГОСПОДИ ты что ещё и ресуешь аниме!?
я : ДАААА !!!! блин! а чё мне еще делать та !!!
смотреть б**ть Машу и медведь !!
они : 😐🤔 ммм.... ДА! потому что Аниме
это же для пидора**в !
я : 🤔🤔😐😶 эм НОООУ !!! короче
ты ЛЫСЫЙ СУСЛИК рас не чего не понимаеш ... и
Я сразу убежала прочь !! 🏃‍♀🏃‍♀ просто РАН , ВАСЯ, РАН !!! и мне 14 лет на сегодня и я все ещё АНИМЕШНИЦА !!!!"
2022-12-01 12:38:33,Респондент 100,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,"Увеличение зарплаты и компенсация затрат на спорт. Поскольку я удаленщик, других изменений я особо не заметил.",,,
2022-11-30 18:38:21,Респондент 85,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,"Сервис Ясно, дмс и Англ","Не знаем имен друг-друга, многие не здороваются. Хотя работаем на одном этаже. Тут априори не может быть других людей, то есть если кто-то идет навстречу - значит 99 из 100 точно твой коллега.","Люди, которые почему-то считают, что твоя работа не такая важная или размазывают конкретный вопрос в долгую переписку ни о чем",Хорошего дня
2022-11-30 17:31:22,Респондент 67,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,"Новый офис
Расширение производства
Чуть более прозрачные процессы в производстве
Сильно более осмысленный подход к производству нового контента в приложении
Отношение к сотрудникам, желающим продолжить сотрудничество в другой стране",,,
2022-12-05 12:55:25,Респондент 163,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Новый офис, дружелюбный коллектив (я недавно в компании)","Программисты Казино и ДВГ существуют как-то очень отдельно и нет каких то регулярных рабочих коммуникаций (например, тестировщики регулярно все встречаются и в курсе,  что у каждого в отделе делается) . Было бы неплохо иногда делится опытом между командами - думаю, это всем было бы полезно",Не всегда есть чёткий пул задач. Поэтому иногда приходится ждать новую задачку,KamaGames <3
2022-12-02 13:04:44,Респондент 127,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:37:16,Респондент 13,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,появление ДМС,отсутствие курительной кабины,если только я сам),все будет хорошо)
2022-12-02 01:53:02,Респондент 105,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,,,,
